Vardas              Pavarde             Galutinis (Vid.)    
Vardas836      Pavarde836      4.00
Vardas837      Pavarde837      8.60
Vardas838      Pavarde838      7.80
Vardas839      Pavarde839      6.80
Vardas84       Pavarde84       5.60
Vardas840      Pavarde840      7.20
Vardas841      Pavarde841      2.00
Vardas842      Pavarde842      4.40
Vardas843      Pavarde843      4.40
Vardas844      Pavarde844      7.00
Vardas845      Pavarde845      3.10
Vardas846      Pavarde846      4.40
Vardas847      Pavarde847      5.30
Vardas848      Pavarde848      7.00
Vardas849      Pavarde849      8.50
Vardas85       Pavarde85       2.70
Vardas850      Pavarde850      7.70
Vardas851      Pavarde851      6.60
Vardas852      Pavarde852      7.60
Vardas853      Pavarde853      3.90
Vardas854      Pavarde854      6.30
Vardas855      Pavarde855      3.60
Vardas856      Pavarde856      4.50
Vardas857      Pavarde857      7.60
Vardas858      Pavarde858      4.20
Vardas859      Pavarde859      8.10
Vardas86       Pavarde86       5.80
Vardas860      Pavarde860      5.50
Vardas861      Pavarde861      2.80
Vardas862      Pavarde862      6.10
Vardas863      Pavarde863      7.50
Vardas864      Pavarde864      2.50
Vardas865      Pavarde865      5.00
Vardas866      Pavarde866      3.20
Vardas867      Pavarde867      7.40
Vardas868      Pavarde868      4.40
Vardas869      Pavarde869      5.40
Vardas87       Pavarde87       4.10
Vardas870      Pavarde870      2.90
Vardas871      Pavarde871      6.00
Vardas872      Pavarde872      3.20
Vardas873      Pavarde873      4.00
Vardas874      Pavarde874      3.20
Vardas875      Pavarde875      9.00
Vardas876      Pavarde876      6.70
Vardas877      Pavarde877      3.60
Vardas878      Pavarde878      3.70
Vardas879      Pavarde879      2.70
Vardas88       Pavarde88       6.50
Vardas880      Pavarde880      2.70
Vardas881      Pavarde881      3.70
Vardas882      Pavarde882      7.50
Vardas883      Pavarde883      3.80
Vardas884      Pavarde884      3.60
Vardas885      Pavarde885      6.90
Vardas886      Pavarde886      6.10
Vardas887      Pavarde887      4.50
Vardas888      Pavarde888      3.40
Vardas889      Pavarde889      8.30
Vardas89       Pavarde89       8.30
Vardas890      Pavarde890      7.40
Vardas891      Pavarde891      7.30
Vardas892      Pavarde892      4.60
Vardas893      Pavarde893      3.90
Vardas894      Pavarde894      7.60
Vardas895      Pavarde895      4.60
Vardas896      Pavarde896      3.40
Vardas897      Pavarde897      3.60
Vardas898      Pavarde898      4.00
Vardas899      Pavarde899      2.60
Vardas9        Pavarde9        5.80
Vardas90       Pavarde90       8.90
Vardas900      Pavarde900      8.00
Vardas901      Pavarde901      5.80
Vardas902      Pavarde902      6.10
Vardas903      Pavarde903      5.00
Vardas904      Pavarde904      5.40
Vardas905      Pavarde905      6.00
Vardas906      Pavarde906      4.80
Vardas907      Pavarde907      8.30
Vardas908      Pavarde908      6.40
Vardas909      Pavarde909      4.40
Vardas91       Pavarde91       3.80
Vardas910      Pavarde910      3.80
Vardas911      Pavarde911      2.60
Vardas912      Pavarde912      8.00
Vardas913      Pavarde913      7.40
Vardas914      Pavarde914      4.30
Vardas915      Pavarde915      6.60
Vardas916      Pavarde916      5.80
Vardas917      Pavarde917      8.20
Vardas918      Pavarde918      3.90
Vardas919      Pavarde919      6.20
Vardas92       Pavarde92       6.60
Vardas920      Pavarde920      4.70
Vardas921      Pavarde921      3.30
Vardas922      Pavarde922      9.20
Vardas923      Pavarde923      6.70
Vardas924      Pavarde924      5.20
Vardas925      Pavarde925      2.40
Vardas926      Pavarde926      6.50
Vardas927      Pavarde927      6.50
Vardas928      Pavarde928      3.20
Vardas929      Pavarde929      5.10
Vardas93       Pavarde93       5.50
Vardas930      Pavarde930      6.10
Vardas931      Pavarde931      7.50
Vardas932      Pavarde932      8.30
Vardas933      Pavarde933      4.10
Vardas934      Pavarde934      4.80
Vardas935      Pavarde935      2.20
Vardas936      Pavarde936      6.70
Vardas937      Pavarde937      6.70
Vardas938      Pavarde938      2.80
Vardas939      Pavarde939      7.70
Vardas94       Pavarde94       3.20
Vardas940      Pavarde940      8.60
Vardas941      Pavarde941      6.50
Vardas942      Pavarde942      7.90
Vardas943      Pavarde943      4.90
Vardas944      Pavarde944      3.30
Vardas945      Pavarde945      6.80
Vardas946      Pavarde946      5.20
Vardas947      Pavarde947      3.40
Vardas948      Pavarde948      5.40
Vardas949      Pavarde949      3.80
Vardas95       Pavarde95       3.50
Vardas950      Pavarde950      4.70
Vardas951      Pavarde951      6.00
Vardas952      Pavarde952      7.60
Vardas953      Pavarde953      2.50
Vardas954      Pavarde954      3.10
Vardas955      Pavarde955      3.50
Vardas956      Pavarde956      5.00
Vardas957      Pavarde957      6.50
Vardas958      Pavarde958      3.20
Vardas959      Pavarde959      7.40
Vardas96       Pavarde96       3.40
Vardas960      Pavarde960      3.30
Vardas961      Pavarde961      2.30
Vardas962      Pavarde962      6.70
Vardas963      Pavarde963      7.70
Vardas964      Pavarde964      5.10
Vardas965      Pavarde965      6.70
Vardas966      Pavarde966      6.80
Vardas967      Pavarde967      3.30
Vardas968      Pavarde968      4.20
Vardas969      Pavarde969      3.80
Vardas97       Pavarde97       9.30
Vardas970      Pavarde970      6.10
Vardas971      Pavarde971      5.60
Vardas972      Pavarde972      6.40
Vardas973      Pavarde973      6.60
Vardas974      Pavarde974      6.60
Vardas975      Pavarde975      5.60
Vardas976      Pavarde976      4.20
Vardas977      Pavarde977      6.80
Vardas978      Pavarde978      4.60
Vardas979      Pavarde979      7.00
Vardas98       Pavarde98       3.10
Vardas980      Pavarde980      6.60
Vardas981      Pavarde981      7.50
Vardas982      Pavarde982      5.50
Vardas983      Pavarde983      6.50
Vardas984      Pavarde984      5.80
Vardas985      Pavarde985      8.40
Vardas986      Pavarde986      4.70
Vardas987      Pavarde987      8.30
Vardas988      Pavarde988      3.50
Vardas989      Pavarde989      2.30
Vardas99       Pavarde99       6.80
Vardas990      Pavarde990      8.00
Vardas991      Pavarde991      3.70
Vardas992      Pavarde992      5.20
Vardas993      Pavarde993      6.70
Vardas994      Pavarde994      4.70
Vardas995      Pavarde995      4.40
Vardas996      Pavarde996      2.10
Vardas997      Pavarde997      6.80
Vardas998      Pavarde998      4.80
Vardas999      Pavarde999      6.40
